@relation R_data_frame

@attribute S1NICC7 {Bastante,Mucho,NS/NR,'Poco - Nada'}
@attribute S15 {'Casado/ Conviviente',NS/NR,Separado/Divorciado/Viudo,Soltero}
@attribute S16 {Femenino,Masculino}
@attribute S17 numeric
@attribute S14 {Alta,Baja,Media,'Media alta','Media baja',NS/NR}
@attribute S28D {No,NS/NR,Sí}
@attribute P49ST.A {Democrático,'Ni Demo-Ni No Demo','No Democrático',NS/NR}
@attribute P76ST {Centro,Derecha,Izquierda,NS/NR}
@attribute IDENPA {Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela}
@attribute P1ST {'Bastante satisfecho','Muy satisfecho','No muy satisfecho',NS/NR,'Para nada satisfecho'}
@attribute P3ST.A {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P3ST.B {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P4ST {Igual,'Mucho mejor','Mucho peor',NS/NR,'Un poco mejor','Un poco peor'}
@attribute P10ST {'Está progresando','No está progresando'}
@attribute P15N {Empeorado,Mejorado,NS/NR,'Se ha mantenido igual'}
@attribute P19ST {'Grupos poderosos en su propio beneficio',NS/NR,'Para el bien de todo el pueblo'}
@attribute P28NE {Empeorará,Mejorará,NS/NR,'Seguirá igual'}
@attribute P65ST {'No tiene los medios',NS/NR,'Tiene los medios'}
@attribute P6ST {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P12ST {Injusta,Justa,'Muy injusta','Muy justa',NS/NR}
@attribute P13ST {'A la gente como uno, nos da lo mismo un régimen democrático','En algunas circunstancias, un gobierno autoritario puede ser','La democracia es preferible a cualquier otra forma de gobier',NS/NR}

@data
Mucho,'Casado/ Conviviente',Femenino,62,NS/NR,No,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Bastante satisfecho',Mala,Mala,Igual,'No está progresando',NS/NR,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Buena,Injusta,NS/NR
NS/NR,'Casado/ Conviviente',Masculino,42,Baja,No,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,'Muy injusta',NS/NR
Bastante,'Casado/ Conviviente',Femenino,35,'Media baja',Sí,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Bastante satisfecho',Mala,Mala,'Un poco peor','No está progresando',NS/NR,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
NS/NR,Soltero,Masculino,18,Baja,No,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Mala,Mala,'Un poco peor','Está progresando',NS/NR,'Para el bien de todo el pueblo',NS/NR,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Masculino,66,Media,Sí,'Ni Demo-Ni No Demo',Derecha,Argentina,'Muy satisfecho',Buena,Regular,Igual,'No está progresando','Se ha mantenido igual',NS/NR,NS/NR,'Tiene los medios',Buena,NS/NR,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,56,Baja,No,'Ni Demo-Ni No Demo',Centro,Argentina,'Para nada satisfecho',Mala,Regular,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,34,Media,Sí,Democrático,Centro,Argentina,'Muy satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',NS/NR,'Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Femenino,18,Media,Sí,Democrático,Derecha,Argentina,'Bastante satisfecho',Mala,Mala,NS/NR,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Masculino,31,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Argentina,'No muy satisfecho',Regular,Regular,'Un poco mejor','No está progresando','Se ha mantenido igual',NS/NR,NS/NR,NS/NR,Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,76,Media,No,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',NS/NR,'Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,Soltero,Femenino,21,Media,Sí,Democrático,Derecha,Argentina,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,19,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Mala,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,56,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Muy satisfecho',Mala,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Buena,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,67,Media,No,Democrático,Centro,Argentina,'Bastante satisfecho',Regular,Regular,'Un poco peor','No está progresando','Se ha mantenido igual','Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,Separado/Divorciado/Viudo,Masculino,60,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Buena,Regular,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Femenino,40,Media,Sí,Democrático,Izquierda,Argentina,'Muy satisfecho',Buena,Buena,'Un poco mejor','Está progresando',NS/NR,'Para el bien de todo el pueblo',NS/NR,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,Separado/Divorciado/Viudo,Femenino,74,'Media baja',No,Democrático,NS/NR,Argentina,'Muy satisfecho',Buena,Buena,'Mucho mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,NS/NR,Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
NS/NR,'Casado/ Conviviente',Masculino,74,'Media baja',No,Democrático,Derecha,Argentina,'Muy satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,NS/NR,Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,20,'Media baja',No,'Ni Demo-Ni No Demo',Derecha,Argentina,'Bastante satisfecho',Regular,Mala,Igual,'No está progresando','Se ha mantenido igual',NS/NR,NS/NR,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,NS/NR,Femenino,28,Media,Sí,Democrático,Derecha,Argentina,'Bastante satisfecho','Muy buena','Muy buena','Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,42,'Media baja',No,Democrático,Centro,Argentina,'Muy satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Masculino,23,NS/NR,No,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Muy satisfecho',Buena,Regular,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,35,'Media baja',No,Democrático,Izquierda,Argentina,'Bastante satisfecho',Regular,Mala,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,NS/NR,Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,42,Media,No,'Ni Demo-Ni No Demo',Centro,Argentina,'Para nada satisfecho',Mala,Mala,NS/NR,'Está progresando',Mejorado,NS/NR,NS/NR,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Femenino,18,'Media baja',Sí,Democrático,Centro,Argentina,'Bastante satisfecho',Regular,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
