"","P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"3","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",35,"Media baja","Sí","4","2","6","NS/NR","Está en retroceso","Un poco peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"5","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",66,"Media","Sí","5","8","7","9","Está estancado","Igual","Bastante","Buena","NS/NR","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"7","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",34,"Media","Sí","8","6","8","5","Está progresando","Un poco mejor","Poco","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"8","La política es tan complicada que no se entiende","Soltero","Femenino",18,"Media","Sí","8","7","NS/NR","9","Está estancado","NS/NR","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"9","La política no es tan complicada y se entiende","Soltero","Masculino",31,"Media baja","No","7","7","7","4","Está estancado","Un poco mejor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"10","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",76,"Media","No","7","4","8","5","Está progresando","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"11","La política no es tan complicada y se entiende","Soltero","Femenino",21,"Media","Sí","8","2","6","8","Está progresando","Un poco mejor","NS/NR","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"12","La política no es tan complicada y se entiende","Soltero","Masculino",19,"Media","Sí","5","7","6","5","Está en retroceso","Un poco peor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"13","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",56,"Media","Sí","7","7","5","6","Está en retroceso","Un poco peor","Bastante","Buena","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"14","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",67,"Media","No","8","8","6","5","Está estancado","Un poco peor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"15","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",60,"Media","Sí","5","8","8","6","Está estancado","Un poco peor","NS/NR","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"16","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",40,"Media","Sí","10 Totalmente democrático","5","6","2","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"17","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",74,"Media baja","No","10 Totalmente democrático","NS/NR","8","NS/NR","Está progresando","Mucho mejor","NS/NR","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"20","La política no es tan complicada y se entiende","NS/NR","Femenino",28,"Media","Sí","10 Totalmente democrático","5","8","8","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"21","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",42,"Media baja","No","8","9","8","5","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"22","La política no es tan complicada y se entiende","Soltero","Masculino",23,"NS/NR","No","7","7","7","NS/NR","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"23","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",35,"Media baja","No","8","NS/NR","8","2","Está progresando","Un poco mejor","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"25","La política es tan complicada que no se entiende","Soltero","Femenino",18,"Media baja","Sí","8","6","5","5","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"26","La política no es tan complicada y se entiende","Soltero","Femenino",31,"Media","No","10 Totalmente democrático","01 No es democrático","9","8","Está progresando","Un poco mejor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"27","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",67,"Media","No","3","4","01 No es democrático","NS/NR","Está estancado","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"28","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",60,"Media baja","No","8","NS/NR","NS/NR","8","Está progresando","Un poco mejor","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
