"P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",46,"Baja","No","6","6","8","4","Está estancado","Un poco peor","Nada","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Soltero","Femenino",20,"Media","Sí","8","6","9","7","Está progresando","Igual","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",45,"Baja","No","6","10 Totalmente democrático","8","5","Está estancado","Igual","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",56,"Media","No","9","8","8","2","Está progresando","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",50,"Media baja","No","7","7","5","5","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",54,"Baja","No","6","6","6","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",28,"Media","No","6","8","8","7","Está progresando","Igual","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",47,"Media","Sí","7","6","6","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Soltero","Masculino",26,"Media baja","Sí","5","6","7","5","NS/NR","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Soltero","Masculino",22,"Baja","No","7","NS/NR","NS/NR","NS/NR","Está progresando","Un poco mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",57,"Media","Sí","9","4","5","2","Está progresando","Un poco mejor","Poco","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",67,"Baja","No","10 Totalmente democrático","9","10 Totalmente democrático","5","Está estancado","Mucho peor","Mucho","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",26,"Media","Sí","8","6","8","6","Está estancado","Un poco peor","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",74,"Media baja","No","10 Totalmente democrático","NS/NR","8","NS/NR","Está progresando","Mucho mejor","NS/NR","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",38,"Media","Sí","8","6","6","5","Está en retroceso","Un poco mejor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",49,"Media baja","No","6","7","5","NS/NR","Está estancado","Igual","Mucho","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",50,"Media baja","No","9","4","5","7","Está estancado","Mucho peor","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
