"","P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"247","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",43,"Media baja","No","10 Totalmente democrático","NS/NR","5","3","Está progresando","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"1126","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",45,"Media baja","Sí","8","7","7","6","Está en retroceso","Igual","Mucho","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"19605","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",35,"Media baja","No","9","6","7","2","Está progresando","Un poco peor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"18855","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",73,"Media baja","No","10 Totalmente democrático","5","5","2","Está estancado","Igual","Poco","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"6453","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",63,"Media baja","Sí","6","5","8","2","Está progresando","Un poco mejor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"16659","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",27,"Media","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"2417","La política es tan complicada que no se entiende","Soltero","Masculino",24,"Media","Sí","5","6","6","3","Está estancado","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"3755","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",48,"Media","No","8","7","8","8","Está progresando","Un poco mejor","Mucho","Buena","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"7344","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",37,"Media","Sí","5","6","4","5","Está progresando","Mucho mejor","Bastante","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"2186","La política es tan complicada que no se entiende","Soltero","Masculino",30,"Baja","No","4","NS/NR","NS/NR","1","Está en retroceso","Un poco peor","NS/NR","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"7373","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",25,"Baja","No","4","7","7","4","Está en retroceso","Mucho peor","Nada","Mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"4171","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",23,"Media baja","No","5","8","3","5","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"7111","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",42,"Baja","No","6","7","10 Totalmente democrático","5","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"16716","La política es tan complicada que no se entiende","Soltero","Femenino",20,"Media","No","3","4","5","5","Está estancado","Igual","Nada","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"6258","La política no es tan complicada y se entiende","Soltero","Femenino",35,"Media baja","No","7","10 Totalmente democrático","10 Totalmente democrático","4","Está progresando","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"3434","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",35,"Media","Sí","6","5","5","3","Está estancado","Igual","Bastante","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
